Feature,Coefficient,Odds_Ratio
No of Rental in arrears,3.5981169500457795,36.529382985696564
ArrearsCapital,1.858549813563518,6.414427906917613
NET-OUTSTANDING,0.9818487992557491,2.6693868430879246
Age,0.8782470374914132,2.406677191656204
FlatRate,0.569608039451215,1.767574096324261
Effective Rate,0.22201573018959897,1.2485910182832585
Tenor,0.18557364096873458,1.2039088535250622
ArrearsInsuEasyPay,0.049889935815263964,1.051155395447246
NetRental,0.03685572589420676,1.0375433194047676
arrears_intensity,0.030651610333830286,1.0311262075873577
DownPayment,0.02428242092409305,1.0245796397620919
ArrearsOD,0.011764006615416114,1.011833474681577
ArrearsInsu,-0.00026505847277665765,0.9997349766521169
Branch,-0.008511144977091104,0.9915249722782863
Last Receipt Paid Amount,-0.013438868344009595,0.9866510300855273
AdvanceRental,-0.025522711150711457,0.9748002398791785
ArrearsSundry,-0.03481410184238443,0.9657849372112226
Equipment Type,-0.04658549493509954,0.9544829536233561
FacilityAmount,-0.05280440178789786,0.9485655320601906
SchemeType,-0.05970883139748142,0.9420387857722696
Granted Date,-0.10908869784014241,0.8966508829743357
ArrearsOther,-0.14827486132551396,0.862194098557439
Advance,-0.15971978981442306,0.8523826017927865
Status,-0.21362320016275282,0.8076526510828609
ArrearsInterest,-1.581203392587245,0.2057273783805415
