Feature,Coefficient,Abs_Coefficient
No of Rental in arrears,3.5981169500457795,3.5981169500457795
ArrearsCapital,1.858549813563518,1.858549813563518
ArrearsInterest,-1.581203392587245,1.581203392587245
NET-OUTSTANDING,0.9818487992557491,0.9818487992557491
Age,0.8782470374914132,0.8782470374914132
FlatRate,0.569608039451215,0.569608039451215
Effective Rate,0.22201573018959897,0.22201573018959897
Status,-0.21362320016275282,0.21362320016275282
Tenor,0.18557364096873458,0.18557364096873458
Advance,-0.15971978981442306,0.15971978981442306
ArrearsOther,-0.14827486132551396,0.14827486132551396
Granted Date,-0.10908869784014241,0.10908869784014241
SchemeType,-0.05970883139748142,0.05970883139748142
FacilityAmount,-0.05280440178789786,0.05280440178789786
ArrearsInsuEasyPay,0.049889935815263964,0.049889935815263964
Equipment Type,-0.04658549493509954,0.04658549493509954
NetRental,0.03685572589420676,0.03685572589420676
ArrearsSundry,-0.03481410184238443,0.03481410184238443
arrears_intensity,0.030651610333830286,0.030651610333830286
AdvanceRental,-0.025522711150711457,0.025522711150711457
DownPayment,0.02428242092409305,0.02428242092409305
Last Receipt Paid Amount,-0.013438868344009595,0.013438868344009595
ArrearsOD,0.011764006615416114,0.011764006615416114
Branch,-0.008511144977091104,0.008511144977091104
ArrearsInsu,-0.00026505847277665765,0.00026505847277665765
