Model,Target,R² Score,Accuracy %,RMSE,MAE,MAPE %,Status
Stacking Ensemble,1 yr ECL,0.9284548237951205,92.84548237951205,5562.257421476746,1899.749483180353,164874526842369.38,⚠ Below 95%
XGBoost,1 yr ECL,0.9264183126903152,92.64183126903151,5640.86591547993,2275.548013091409,177670187417804.1,⚠ Below 95%
XGBoost,1 yr ECL,0.9264183126903152,92.64183126903151,5640.86591547993,2275.548013091409,177670187417804.1,⚠ Below 95%
Gradient Boosting,1 yr ECL,0.9213381822098559,92.13381822098559,5832.340818663153,2290.0110664215886,173299873394603.84,⚠ Below 95%
Random Forest,1 yr ECL,0.8791509087171585,87.91509087171585,7229.072826517227,2709.1375190703025,284742932561131.56,⚠ Below 95%
Random Forest,1 yr ECL,0.8791509087171585,87.91509087171585,7229.072826517227,2709.1375190703025,284742932561131.56,⚠ Below 95%
LightGBM,1 yr ECL,0.844244948688115,84.4244948688115,8206.953551197419,3487.9980918388005,373781797821789.25,⚠ Below 95%
LightGBM,1 yr ECL,0.844244948688115,84.4244948688115,8206.953551197419,3487.9980918388005,373781797821789.25,⚠ Below 95%
CatBoost,1 yr ECL,0.8290128439102965,82.90128439102965,8598.895079368427,3741.469455792249,386955431034297.3,⚠ Below 95%
CatBoost,1 yr ECL,0.8290128439102965,82.90128439102965,8598.895079368427,3741.469455792249,386955431034297.3,⚠ Below 95%
Ridge (Polynomial),1 yr ECL,0.4917653279271802,49.17653279271802,14824.943610786826,8258.804213739118,1254806821006038.0,⚠ Below 95%
Gradient Boosting,Impairment,0.9958871514056268,99.58871514056268,11870.693747302594,3960.2524463471987,132585157802307.62,✓ Achieved
Stacking Ensemble,Impairment,0.9924116014668937,99.24116014668937,16124.260479569497,4982.459611887925,154303801377173.34,✓ Achieved
CatBoost,Impairment,0.9886322125206004,98.86322125206004,19735.253649304657,7149.176805020094,210083787720639.9,✓ Achieved
CatBoost,Impairment,0.9886322125206004,98.86322125206004,19735.253649304657,7149.176805020094,210083787720639.9,✓ Achieved
XGBoost,Impairment,0.9782243845785568,97.82243845785568,27314.29267362857,4845.744132096086,157433259095566.12,✓ Achieved
XGBoost,Impairment,0.9782243845785568,97.82243845785568,27314.29267362857,4845.744132096086,157433259095566.12,✓ Achieved
Ridge (Polynomial),Impairment,0.9389602282352426,93.89602282352426,45731.05180499954,18333.192538214076,212491306643338.22,⚠ Below 95%
Random Forest,Impairment,0.9157786610288107,91.57786610288106,53717.502223082556,5419.950439988379,195339157562795.75,⚠ Below 95%
Random Forest,Impairment,0.9157786610288107,91.57786610288106,53717.502223082556,5419.950439988378,195339157562795.75,⚠ Below 95%
LightGBM,Impairment,0.8959093534951579,89.59093534951579,59718.734032760556,6853.1780523723555,218458091652220.8,⚠ Below 95%
LightGBM,Impairment,0.8959093534951579,89.59093534951579,59718.734032760556,6853.1780523723555,218458091652220.8,⚠ Below 95%
